POINT®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector OAS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US Aggregate (Statistics, Unhedged)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date: 04/17/2017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Currency: USD,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Government,,,,,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Securitized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,Treasury,,Agency,,Total,,Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Corporate,,,,,,,,,,Total,,U.S. MBS,,,,,,,,,,,,,,,,,,,,U.S. CMBS,,,,,,Asset Backed,,,,,,,,,,Other Mtgs,,
,Total,,,,,,,,,,,,Financial Institutions,,,,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,,,,,Utility,,,,,,,,Total,,Supranationals,,Sovereigns,,Foreign Agency,,Foreign Local Govt,,Total,,,,Agency Fixed Rate,,,,,,,,,,Agency Hybrid ARM,,,,,,,,Total,,Non Agency CMBS,,Agency CMBS,,Total,,ABS,,,,,,,,Total,,
,Total,,,,,,,,,,,,,,Banking,,Brokerage Assetmanagers Exchanges,,Finance Companies,,Insurance,,REITS,,Other Financial,,Total,,Basic Industry,,Capital Goods,,Consumer Cyclical,,Consumer Non-Cyclical,,Energy,,Technology,,Transportation,,Communications,,Industrial Other,,Total,,Electric,,Natural Gas,,Other Utility,,Total,,,,,,,,,,,,,,,,GNMA 30 year,,Conventional 30 year,,15 year,,20 year,,Total,,3/1 Hybrid ARM,,5/1 Hybrid ARM,,7/1 Hybrid ARM,,Total,,,,,,,,,,Credit,,Auto,,Utility,,Total,,
,OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),OAS,Market Value (Abs),
05/01/2015,43.5,"17,757,981,574",1.6,"6,939,250,485",0.3,"6,362,626,152",16.8,"576,624,333",122.6,"5,300,798,836",128.5,"4,207,232,753",117.7,"1,368,446,830",111.5,"927,499,338",139.0,"37,524,429",103.3,"92,919,019",136.9,"205,675,127",139.7,"103,589,147",127.1,"1,239,770",135.4,"2,523,922,302",179.4,"213,171,437",100.2,"197,395,868",111.2,"269,165,075",111.6,"591,984,948",170.3,"462,266,884",105.9,"243,465,134",119.0,"95,552,707",161.0,"435,874,107",106.8,"15,046,143",120.2,"314,863,621",119.9,"293,611,948",117.5,"16,762,283",154.6,"4,489,390",100.2,"1,093,566,082",13.3,"288,632,186",155.5,"277,244,529",112.1,"305,441,340",127.8,"222,248,027",20.1,"5,517,932,254",14.2,"5,055,371,723",14.4,"5,004,290,311",0.6,"1,318,834,340",21.0,"2,794,470,306",13.7,"712,609,747",13.9,"178,375,918",1.1,"51,081,413",62.9,"1,404,277",-2.0,"26,136,569",0.7,"23,540,566",93.2,"351,659,918",114.7,"246,977,983",42.4,"104,681,935",60.6,"98,199,299",60.6,"98,199,299",50.2,"46,347,720",70.9,"47,030,688",60.3,"4,820,891",42.8,"12,701,313",
05/08/2015,43.2,"17,859,370,755",1.6,"6,999,651,811",0.3,"6,418,878,992",16.1,"580,772,819",123.1,"5,338,796,358",129.2,"4,244,873,817",117.5,"1,369,297,714",110.9,"927,818,169",139.6,"37,487,131",102.3,"92,840,364",138.5,"205,604,515",140.1,"104,307,528",128.7,"1,240,006",136.1,"2,561,704,736",179.6,"213,260,994",100.8,"196,874,925",112.5,"269,773,098",112.7,"607,382,016",170.5,"478,351,083",106.0,"250,096,707",121.1,"95,371,342",161.5,"435,665,749",108.1,"14,928,823",123.5,"313,871,367",123.3,"292,741,604",119.9,"16,652,923",154.5,"4,476,840",99.3,"1,093,922,541",13.1,"288,734,071",154.8,"276,760,292",110.4,"306,270,092",127.1,"222,158,086",18.8,"5,520,922,586",12.5,"5,059,370,975",12.6,"5,008,335,747",-2.2,"1,320,262,889",19.6,"2,796,362,417",12.3,"713,179,974",12.2,"178,530,466",6.4,"51,035,228",65.4,"1,403,515",2.6,"26,115,550",7.0,"23,516,163",94.5,"350,581,943",116.7,"245,826,701",42.4,"104,755,242",67.8,"97,956,672",67.8,"97,956,672",65.0,"46,388,615",71.3,"46,742,802",60.2,"4,825,255",42.3,"13,012,997",
05/15/2015,43.6,"17,878,535,769",1.5,"6,986,812,873",0.3,"6,404,703,649",14.0,"582,109,224",122.5,"5,365,455,667",128.2,"4,270,765,937",116.0,"1,379,176,515",108.3,"935,193,334",137.9,"37,559,692",102.8,"92,718,281",140.0,"207,039,545",141.6,"105,429,686",124.9,"1,235,976",135.3,"2,574,999,475",178.7,"214,849,731",100.6,"196,588,720",112.7,"269,758,917",112.0,"606,471,976",168.5,"480,729,193",105.7,"261,214,766",122.2,"95,038,433",161.0,"435,086,064",110.0,"15,261,675",122.8,"316,589,947",122.5,"295,499,137",119.1,"16,619,210",154.7,"4,471,601",100.2,"1,094,689,730",13.1,"289,030,741",158.4,"275,818,706",109.0,"307,584,720",129.2,"222,255,563",20.2,"5,526,267,228",14.3,"5,058,808,925",14.5,"5,007,636,408",2.3,"1,318,535,569",20.1,"2,797,328,775",15.2,"713,256,135",14.4,"178,515,930",-0.3,"51,172,517",63.6,"1,405,092",-3.2,"26,178,636",-1.0,"23,588,789",92.1,"351,771,513",114.6,"244,616,308",40.7,"107,155,205",60.5,"102,649,447",60.5,"102,649,447",49.8,"50,532,245",72.0,"47,283,625",59.2,"4,833,576",41.9,"13,037,343",
